Mois;Gare;Prévues;Assurées;Pourcentage de correspondances assurées
2020-01;NAMUR;24926;23531;94.40343416512879
2020-02;MECHELEN;38093;34642;90.94059275982464
2020-03;MONS;7741;7147;92.32657279421264
2020-03;NAMUR;18503;17165;92.7687402042912
2020-03;ZOTTEGEM;5367;5242;97.67095211477547
2020-04;LEUVEN;17263;16755;97.0572901581417
2020-04;ZOTTEGEM;2100;2059;98.04761904761905
2020-05;ANTWERPEN-CENTRAAL;37004;35404;95.67614311966274
2020-05;GENT-SINT-PIETERS;49276;47101;95.58608653299781
2020-05;LEUVEN;36276;34669;95.57007387804609
2020-05;MECHELEN;33749;31860;94.40279711991467
2020-06;ANTWERPEN-CENTRAAL;41912;39678;94.66978430998282
2020-06;BRUGGE;16560;16122;97.35507246376811
2020-06;GENT-SINT-PIETERS;49741;47307;95.10665245974145
2020-06;LIEGE-GUILLEMINS;27551;25938;94.14540307066895
2020-06;NAMUR;22795;21568;94.61724062294363
2020-07;ANTWERPEN-CENTRAAL;43574;41711;95.72451461880938
2020-07;LIEGE-GUILLEMINS;14092;13361;94.81265966505819
2020-07;NAMUR;21619;20647;95.50395485452611
2020-08;ANTWERPEN-CENTRAAL;41451;39238;94.66116619623169
2020-08;LIEGE-GUILLEMINS;13962;12916;92.50823664231486
2020-08;MECHELEN;38049;35688;93.79484349128755
2020-08;NAMUR;19199;18209;94.84348143132455
2020-09;CHARLEROI-SUD;17363;15748;90.69861199101538
2020-09;MONS;10122;9278;91.66172693143648
2020-10;ANTWERPEN-CENTRAAL;45980;43831;95.32622879512832
2020-10;LIEGE-GUILLEMINS;32517;29992;92.23483101147092
2020-10;NAMUR;24265;22220;91.57222336698949
2020-10;ZOTTEGEM;6780;6558;96.72566371681415
2020-11;ANTWERPEN-CENTRAAL;31222;29641;94.93626289155083
2020-11;NAMUR;19074;17719;92.89608891685016
2020-12;GENT-SINT-PIETERS;51668;49194;95.21173647131687
2020-12;LEUVEN;40762;38927;95.49825818163976
2020-12;LIEGE-GUILLEMINS;31552;29835;94.55818965517241
2020-12;MECHELEN;35103;33078;94.23126228527477
2020-12;MONS;10222;9772;95.59773038544316
2021-01;ANTWERPEN-CENTRAAL;43404;40807;94.0166804902774
2021-01;MONS;10561;9977;94.47022062304707
2021-02;MECHELEN;33769;30183;89.38079303503214
2021-02;NAMUR;21885;20123;91.94882339501942
2021-02;ZOTTEGEM;6948;6620;95.27921704087507
2021-03;LEUVEN;41909;39055;93.19000691975471
2021-03;LIEGE-GUILLEMINS;31693;29087;91.77736408670685
2021-04;ANTWERPEN-CENTRAAL;41544;39171;94.28798382437897
2021-04;GENT-SINT-PIETERS;50767;47977;94.50430397699293
2021-04;LIEGE-GUILLEMINS;29644;26859;90.60518148697881
2021-04;MECHELEN;35476;33149;93.44063592287743
2021-05;ANTWERPEN-CENTRAAL;42634;40177;94.23699394849181
2021-05;MECHELEN;34979;32845;93.89919666085366
2021-05;ZOTTEGEM;6484;6207;95.72794571252314
2021-06;BRUGGE;16125;15506;96.16124031007752
2021-06;LIEGE-GUILLEMINS;32415;28829;88.93722042264383
2021-06;MONS;10378;9467;91.22181537868568
2021-07;GENT-SINT-PIETERS;54889;52015;94.76397821057041
2021-07;ZOTTEGEM;7019;6758;96.28152158427127
2021-08;ANTWERPEN-CENTRAAL;46185;43209;93.55634946411172
2021-08;CHARLEROI-SUD;14120;12735;90.19121813031161
2021-08;LEUVEN;39758;37854;95.2110267116052
2021-08;MONS;10406;9796;94.13799730924467
2021-08;ZOTTEGEM;7059;6862;97.20923643575577
2021-10;LIEGE-GUILLEMINS;32997;29192;88.46864866503016
2021-10;MECHELEN;35912;32320;89.99777233236802
2021-11;ANTWERPEN-CENTRAAL;43071;39064;90.69675651830698
2021-11;MONS;10173;9406;92.46043448343654
2021-11;ZOTTEGEM;6708;6334;94.42456768038163
2021-12;CHARLEROI-SUD;17552;16190;92.24020054694621
2021-12;GENT-SINT-PIETERS;52699;49481;93.8936222698723
2021-12;LEUVEN;43318;40642;93.82242947504501
2021-12;MECHELEN;35943;32897;91.52547088445594
2021-12;MONS;10345;9563;92.44079265345577
2022-01;CHARLEROI-SUD;16708;15659;93.72157050514723
2022-01;MECHELEN;36836;34225;92.91182538820719
2022-01;ZOTTEGEM;8194;7848;95.77739809616793
2022-02;CHARLEROI-SUD;14236;12480;87.66507445911773
2022-02;LEUVEN;33262;30384;91.34748361493597
2022-02;MONS;9516;8601;90.38461538461539
2022-02;NAMUR;17856;16492;92.36111111111111
2022-02;ZOTTEGEM;7715;7354;95.32080362929358
2022-03;MECHELEN;37422;33371;89.17481695259472
2022-03;MONS;10602;9296;87.68156951518581
