Mois;Type de train;Instant;Instant;Instant;Ponctualité;Nombre de trains;Nombre de train avec moins de 6 min. de retard;Minutes de retard
2017-10;IC;Ochtendspits;Pointe du matin;Morning peak hour;75.58922558922558;5940;4490;24891.0
2017-10;IC;Avondspits;Pointe du soir;Evening peak hour;77.52941176470588;6800;5272;29266.0
2017-10;IC;Daluren;Heures creuses;Off-peak hours;81.55490051584377;27140;22134;97022.0
2017-10;L;Ochtendspits;Pointe du matin;Morning peak hour;84.82558139534883;3440;2918;9839.0
2017-10;P;Avondspits;Pointe du soir;Evening peak hour;81.34328358208955;3886;3161;12470.0
2017-10;P;Weekends;Weekends;Weekends;50.0;24;12;244.0
2017-10;S;Ochtendspits;Pointe du matin;Morning peak hour;80.42498390212492;3106;2498;10814.0
2017-10;S;Weekends;Weekends;Weekends;92.52283105022832;3504;3242;6125.0
2017-11;IC;Ochtendspits;Pointe du matin;Morning peak hour;76.25021780798048;5739;4376;23501.0
2017-11;P;Ochtendspits;Pointe du matin;Morning peak hour;79.66666666666666;4200;3346;14896.0
2017-11;P;Weekends;Weekends;Weekends;40.0;20;8;216.0
2017-11;S;Ochtendspits;Pointe du matin;Morning peak hour;82.51584918251585;2997;2473;9351.0
2017-12;IC;Avondspits;Pointe du soir;Evening peak hour;74.40798376184033;5912;4399;28080.0
2017-12;L;Avondspits;Pointe du soir;Evening peak hour;84.12386335709019;4069;3423;12030.0
2017-12;L;Daluren;Heures creuses;Off-peak hours;89.10041560530902;14918;13292;31976.0
2017-12;P;Avondspits;Pointe du soir;Evening peak hour;76.21343619414979;3111;2371;13554.0
2017-12;P;Weekends;Weekends;Weekends;78.37837837837837;37;29;159.0
2017-12;S;Avondspits;Pointe du soir;Evening peak hour;77.87206266318537;3064;2386;11952.0
2018-01;IC;Avondspits;Pointe du soir;Evening peak hour;82.21649484536083;6596;5423;22498.0
2018-01;L;Ochtendspits;Pointe du matin;Morning peak hour;90.67478912839736;4268;3870;8943.0
2018-01;L;Daluren;Heures creuses;Off-peak hours;91.57039917648405;17486;16012;29734.0
2018-01;P;Ochtendspits;Pointe du matin;Morning peak hour;84.703824043989;4001;3389;11673.0
2018-01;S;Ochtendspits;Pointe du matin;Morning peak hour;84.96481126039667;3126;2656;9433.0
2018-02;IC;Avondspits;Pointe du soir;Evening peak hour;80.78691875319366;5871;4743;20804.0
2018-02;L;Avondspits;Pointe du soir;Evening peak hour;88.67429661421077;4194;3719;9221.0
2018-02;L;Weekends;Weekends;Weekends;93.56950973807925;5956;5573;7664.0
2018-02;L;Daluren;Heures creuses;Off-peak hours;88.81296368606013;15366;13647;33578.0
2018-02;S;Ochtendspits;Pointe du matin;Morning peak hour;87.86167960479887;2834;2490;6859.0
2018-02;S;Weekends;Weekends;Weekends;94.91371480472299;3303;3135;4665.0
2018-02;S;Daluren;Heures creuses;Off-peak hours;92.67318826112997;10018;9284;15973.0
2018-03;IC;Ochtendspits;Pointe du matin;Morning peak hour;84.74604776320214;5946;5039;16966.0
2018-03;IC;Avondspits;Pointe du soir;Evening peak hour;81.45795523290987;6612;5386;22676.0
2018-03;S;Avondspits;Pointe du soir;Evening peak hour;83.31402085747392;3452;2876;10312.0
2018-04;L;Avondspits;Pointe du soir;Evening peak hour;88.47064393939394;4224;3737;9134.0
2018-04;P;Ochtendspits;Pointe du matin;Morning peak hour;88.05472138805473;2997;2639;7233.0
2018-04;P;Avondspits;Pointe du soir;Evening peak hour;81.95376584638329;2682;2198;8508.0
2018-04;P;Weekends;Weekends;Weekends;78.57142857142857;42;33;124.0
2018-04;P;Daluren;Heures creuses;Off-peak hours;86.79802955665025;1015;881;2643.0
2018-05;IC;Daluren;Heures creuses;Off-peak hours;82.06625206244448;23637;19398;81612.0
2018-05;P;Avondspits;Pointe du soir;Evening peak hour;79.32734125833575;3449;2736;12161.0
2018-05;P;Weekends;Weekends;Weekends;78.78787878787878;66;52;244.0
2018-05;P;Daluren;Heures creuses;Off-peak hours;83.85245901639344;1220;1023;3743.0
2018-05;S;Weekends;Weekends;Weekends;93.416447944007;4572;4271;7119.0
2018-05;S;Daluren;Heures creuses;Off-peak hours;89.6052119797744;10284;9215;21372.0
2018-06;IC;Ochtendspits;Pointe du matin;Morning peak hour;83.98764085786986;5502;4621;15906.0
2018-06;IC;Avondspits;Pointe du soir;Evening peak hour;73.86099102095112;6014;4442;28904.0
2018-06;IC;Weekends;Weekends;Weekends;88.4458834412581;10810;9561;23412.0
2018-06;IC;Daluren;Heures creuses;Off-peak hours;81.54891864057673;24275;19796;87110.0
2018-06;L;Daluren;Heures creuses;Off-peak hours;85.17383691845923;15992;13621;42293.0
2018-06;S;Weekends;Weekends;Weekends;91.46341463414635;3526;3225;6283.0
2018-07;IC;Ochtendspits;Pointe du matin;Morning peak hour;89.68673002463922;5682;5096;12810.0
2018-07;IC;Weekends;Weekends;Weekends;91.69270833333333;11520;10563;19042.0
2018-07;IC;Daluren;Heures creuses;Off-peak hours;85.14795979658031;24973;21264;74388.0
2018-07;L;Weekends;Weekends;Weekends;93.41477949940405;6712;6270;8780.0
2018-07;P;Daluren;Heures creuses;Off-peak hours;85.08014796547472;811;690;2289.0
2018-07;S;Ochtendspits;Pointe du matin;Morning peak hour;92.69887395568472;2753;2552;5403.0
2018-07;S;Daluren;Heures creuses;Off-peak hours;91.18667591950035;10087;9198;19299.0
2018-08;IC;Weekends;Weekends;Weekends;93.65134132666265;11593;10857;15889.0
2018-08;L;Avondspits;Pointe du soir;Evening peak hour;89.75795607350963;4462;4005;8542.0
2018-08;L;Weekends;Weekends;Weekends;94.40184049079755;6520;6155;8060.0
2018-08;P;Ochtendspits;Pointe du matin;Morning peak hour;91.33301931229393;2123;1939;4175.0
2018-09;IC;Ochtendspits;Pointe du matin;Morning peak hour;80.88946780796428;5374;4347;17371.0
2018-09;IC;Avondspits;Pointe du soir;Evening peak hour;77.01053335562615;5981;4606;24307.0
2018-09;L;Ochtendspits;Pointe du matin;Morning peak hour;84.98701298701299;3850;3272;10156.0
2018-09;P;Ochtendspits;Pointe du matin;Morning peak hour;84.10010111223458;3956;3327;11633.0
