Mois;Ligne;Instant;Instant;Instant;Ponctualité;Nombre de trains comptabilisés;Nombre de trains arrivés à Bruxelles avec moins de 6 min. de retard;Minutes de retard
2018-04;25-27;Daluren;Heures creuses;Off-peak hours;90.78104993597952;1562;1418;3033
2018-04;50A;Avondspits;Pointe du soir;Evening peak hour;90.19607843137256;357;322;780
2018-04;50A;Daluren;Heures creuses;Off-peak hours;92.54355400696865;1435;1328;2015
2018-04;50;Ochtendspits;Pointe du matin;Morning peak hour;88.77551020408163;98;87;288
2018-04;60;Ochtendspits;Pointe du matin;Morning peak hour;91.86602870813397;209;192;423
2018-04;60;Daluren;Heures creuses;Off-peak hours;94.34571890145395;619;584;787
2018-04;89;Ochtendspits;Pointe du matin;Morning peak hour;74.67248908296943;229;171;1152
2018-04;89;Avondspits;Pointe du soir;Evening peak hour;92.5;120;111;204
2018-04;89;Daluren;Heures creuses;Off-peak hours;94.5010183299389;491;464;643
2018-04;94;Weekends;Weekends;Weekends;96.27329192546584;322;310;253
2018-04;94;Daluren;Heures creuses;Off-peak hours;92.94964028776978;695;646;1168
2018-04;96;Daluren;Heures creuses;Off-peak hours;93.13186813186813;1092;1017;1894
2018-04;124;Avondspits;Pointe du soir;Evening peak hour;88.03418803418803;234;206;962
2018-04;124;Weekends;Weekends;Weekends;92.56594724220624;417;386;832
2018-04;162;Daluren;Heures creuses;Off-peak hours;90.76923076923077;260;236;564
2018-05;50A;Weekends;Weekends;Weekends;94.69122426868906;923;874;1164
2018-05;50;Avondspits;Pointe du soir;Evening peak hour;91.66666666666666;60;55;156
2018-05;60;Ochtendspits;Pointe du matin;Morning peak hour;88.0184331797235;217;191;540
2018-05;60;Avondspits;Pointe du soir;Evening peak hour;88.26815642458101;179;158;443
2018-05;60;Daluren;Heures creuses;Off-peak hours;93.01948051948052;616;573;930
2018-05;94;Weekends;Weekends;Weekends;96.32768361581921;354;341;359
2018-05;94;Daluren;Heures creuses;Off-peak hours;89.20863309352518;695;620;1529
2018-05;96;Weekends;Weekends;Weekends;96.61654135338345;532;514;548
2018-05;161;Weekends;Weekends;Weekends;94.53551912568307;366;346;545
2018-05;162;Ochtendspits;Pointe du matin;Morning peak hour;85.8974358974359;78;67;273
2018-05;162;Avondspits;Pointe du soir;Evening peak hour;93.10344827586206;58;54;107
2018-05;162;Daluren;Heures creuses;Off-peak hours;90.14598540145985;274;247;569
2018-06;25-27;Avondspits;Pointe du soir;Evening peak hour;74.28571428571429;420;312;2571
2018-06;25-27;Weekends;Weekends;Weekends;95.54140127388536;471;450;517
