FID,the_geom,code,timestamp,air_pressure,air_temperature,relative_humidity,precipitation,wind_speed,wind_direction,qc_flags
aws_10min.fid--18bb3085_190319152d2_-7e32,POINT (5.255 50.194),6472,2024-06-11T00:40:00,980.54,5.79,88.16,0,1.99,226.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e31,POINT (4.358 50.797),6447,2024-06-11T00:40:00,1002.68,8.47,93.59,0,,257.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e30,POINT (3.202 51.348),6418,2024-06-11T00:40:00,1013.44,12.59,64.35,0,6.2,313.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2f,POINT (4.358 50.797),6447,2024-06-11T00:50:00,1002.8,8.31,93.77,0,,261.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2e,POINT (5.255 50.194),6472,2024-06-11T00:50:00,980.42,5.68,88.42,0,1.97,227.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2d,POINT (3.202 51.348),6418,2024-06-11T00:50:00,1013.46,12.55,65.13,0,6.54,307.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2c,POINT (5.255 50.194),6472,2024-06-11T01:00:00,980.52,5.8,88.75,0,2.31,239.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2b,POINT (3.202 51.348),6418,2024-06-11T01:00:00,1013.48,12.55,65.63,0,6.26,309.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e2a,POINT (4.358 50.797),6447,2024-06-11T01:00:00,1002.8,8.2,94.44,0,,259,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e29,POINT (3.202 51.348),6418,2024-06-11T01:10:00,1013.48,12.58,65.98,0,6.96,311.4,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e28,POINT (4.358 50.797),6447,2024-06-11T01:10:00,1002.8,8.1,94.63,0,,260.7,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e27,POINT (5.255 50.194),6472,2024-06-11T01:10:00,980.54,5.82,89,0,2.3,223.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e26,POINT (5.255 50.194),6472,2024-06-11T01:20:00,980.54,5.48,89.2,0,2.1,211.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e25,POINT (3.202 51.348),6418,2024-06-11T01:20:00,1013.48,12.48,66.07,0,6.4,313,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e24,POINT (4.358 50.797),6447,2024-06-11T01:20:00,1002.8,7.94,94.79,0,,257.9,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e23,POINT (4.358 50.797),6447,2024-06-11T01:30:00,1002.8,7.86,94.95,0,,256.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e22,POINT (3.202 51.348),6418,2024-06-11T01:30:00,1013.48,12.46,66.14,0,6.57,314.2,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e21,POINT (5.255 50.194),6472,2024-06-11T01:30:00,980.54,5.54,89.59,0,1.75,222.6,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e20,POINT (4.358 50.797),6447,2024-06-11T01:40:00,1002.8,7.49,94.76,0,,251.5,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e1f,POINT (3.202 51.348),6418,2024-06-11T01:40:00,1013.48,12.38,65.86,0,6.09,308,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e1e,POINT (5.255 50.194),6472,2024-06-11T01:40:00,980.62,5.5,89.84,0,2.01,219.8,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_10min.fid--18bb3085_190319152d2_-7e1d,POINT (4.358 50.797),6447,2024-06-11T01:50:00,1002.8,7.32,95.57,0,,252.3,"{""validated"": {""air_pressure"":false,""air_temperature"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
